variable,step,rmse_score,mean_score,std_score
geopotential-level500,8,3.6114779729308952,1.0004317254394468,0.9877947077024268
geopotential-level500,9,2.67818012321451,1.0002582432405778,0.9918878112392456
geopotential-level500,10,2.2818167787918786,1.0001819551912559,0.9933315476481576
geopotential-level500,11,1.8282919445691332,1.000163767555316,0.9984972727163222
geopotential-level500,12,1.4852253422544766,1.0001448856952084,0.9985854643547254
geopotential-level500,13,1.2299905127074227,1.0000398018892702,0.9989341159800453
geopotential-level500,14,1.1481658402795714,1.0000219778381119,0.9992636213602152
geopotential-level500,15,1.0920124251583248,0.9999720061945461,0.9995205477149167
geopotential-level500,16,1.0,1.0,1.0
geopotential-level600,-12,13.821716654303788,1.0000388260852413,1.0009073521581167
geopotential-level600,-6,8.375582008383603,1.000036670655295,1.0012339620438389
geopotential-level600,0,8.23116168492961,1.0018949087524993,0.9551379896535739
geopotential-level600,1,7.594297912286162,1.0014623907206661,0.9577547258882471
geopotential-level600,2,6.795808835259123,1.0010380079192724,0.959314973307178
geopotential-level600,3,6.5111434249038025,1.0008395099407554,0.9628995012062141
geopotential-level600,4,6.189244361594034,1.0008143861893215,0.9655799988332437
geopotential-level600,5,5.829418582126898,1.0007275708930392,0.9709461371890863
geopotential-level600,6,5.214626537860584,1.0005033460004837,0.9766097714535328
geopotential-level600,7,4.39769200441277,1.0006080860976465,0.9799510608273766
geopotential-level600,8,3.486633992806192,1.0005800463697219,0.9862824829853675
geopotential-level600,9,2.577988560623336,1.0003545514880818,0.9894900588468357
geopotential-level600,10,2.1374802375316446,1.0002250564690436,0.9933435005063906
geopotential-level600,11,1.71267657215126,1.0002110958624693,0.9979664517752603
geopotential-level600,12,1.4088961353193747,1.000227001045287,0.9992641135933659
geopotential-level600,13,1.2019208029134927,1.000122410176774,0.999232815408711
geopotential-level600,14,1.134904491390874,1.00004439956815,0.9990651454156403
geopotential-level600,15,1.0958119709713985,0.9999815665458008,0.9990128717296849
geopotential-level600,16,1.0,1.0,1.0
geopotential-level700,-12,12.775948168123373,0.9999949422675669,1.0006180780154388
geopotential-level700,-6,7.8917624111851135,0.9999913066064486,1.0011072862676398
geopotential-level700,0,7.6249330393989725,1.002292804642802,0.9559375699322381
geopotential-level700,1,7.084789927415432,1.0018568543107809,0.9571351059632475
geopotential-level700,2,6.2644447254245685,1.0013031634892744,0.9568345605591199
geopotential-level700,3,6.1041644729441895,1.0010115897435425,0.9598033069417637
geopotential-level700,4,5.815125883154493,1.0009110548334763,0.9630850938638444
geopotential-level700,5,5.535278608310028,1.0008269436894197,0.966923535909303
geopotential-level700,6,5.002727170764122,1.0006097298406171,0.9730935157308335
geopotential-level700,7,4.2155955792943445,1.0006200727278272,0.9789021338241319
geopotential-level700,8,3.377271124512142,1.00067033542275,0.984702234749713
geopotential-level700,9,2.504069826675266,1.0003752132229644,0.987869494787172
geopotential-level700,10,2.0865737655615275,1.0002647606467785,0.9937760175996925
geopotential-level700,11,1.6665224768460019,1.000237955358103,0.9989583275545652
geopotential-level700,12,1.4142758354535634,1.0003185013646132,0.9996723228895097
geopotential-level700,13,1.238417641035124,1.0002530509147727,0.9990868794249557
geopotential-level700,14,1.1511437942242693,1.0000968809479425,0.9987328156990801
geopotential-level700,15,1.0919726489736916,0.999981883991771,0.9989884445801441
geopotential-level700,16,1.0,1.0,1.0
geopotential-level850,-12,12.13732904748776,1.0000107947111059,1.0003107693105215
geopotential-level850,-6,7.626604815872819,1.0000019317010258,1.0010394254453716
geopotential-level850,0,7.310329982089967,1.0046766794756672,0.9388329081186892
geopotential-level850,1,6.7760177882155475,1.0038223809132332,0.9428459453602023
geopotential-level850,2,5.983741372232729,1.0029941848666628,0.9413089441190227
geopotential-level850,3,5.820329190825222,1.00234376468703,0.9428481531050317
geopotential-level850,4,5.491832935573121,1.0019911527711478,0.945922181227537
geopotential-level850,5,5.204360896400777,1.0016981884327716,0.9493448640369397
geopotential-level850,6,4.760036377349012,1.0015914592379658,0.9549049586233463
geopotential-level850,7,4.008309185014355,1.001529462891493,0.9673995205518381
geopotential-level850,8,3.263415319936476,1.0015669828490783,0.9741883728069175
geopotential-level850,9,2.455284364474049,1.0006974994122968,0.981510499411658
geopotential-level850,10,2.117565349103961,1.0007043822986441,0.989195552359196
geopotential-level850,11,1.7338278833277574,1.0007899657108357,0.9963398013593204
geopotential-level850,12,1.494845026219177,1.0006977013276865,0.998123207954419
geopotential-level850,13,1.2828777323976006,1.0003572360167654,0.9987359200086996
geopotential-level850,14,1.1936567184251192,1.000059077649541,0.9987811670730802
geopotential-level850,15,1.1200880320750382,1.0000699561148974,0.9983728832511807
geopotential-level850,16,1.0,1.0,1.0
geopotential-level925,-12,12.083390453709182,1.000309809980966,0.9995994170124053
geopotential-level925,-6,7.611800110217259,1.0002914822957338,1.0002497118556588
geopotential-level925,0,7.238380088331913,1.0093882412487787,0.9335201178063833
geopotential-level925,1,6.719102428878699,1.0079578520589343,0.9369992286866319
geopotential-level925,2,5.916197872542884,1.006285825826191,0.9403028668497363
geopotential-level925,3,5.73272932938312,1.004988896005416,0.9403614451556358
geopotential-level925,4,5.361717138920438,1.0042095435429572,0.9432661146630968
geopotential-level925,5,5.049264764023802,1.0036491646074526,0.9457395361988634
geopotential-level925,6,4.624383948117924,1.0033363978112368,0.9512916095805861
geopotential-level925,7,3.883340022344325,1.003100504865777,0.966284740462895
geopotential-level925,8,3.1613823615649586,1.0031661156894713,0.9745028971498502
geopotential-level925,9,2.421957173454964,1.0014254354978784,0.9828891575684098
geopotential-level925,10,2.119238022973417,1.001611220215906,0.9884833772086573
geopotential-level925,11,1.768064004975047,1.0016097724217363,0.9957380737336458
geopotential-level925,12,1.5304854093462825,1.0013857389519019,0.9970958346475628
geopotential-level925,13,1.337577758417615,1.0007417330429895,0.9974232442573148
geopotential-level925,14,1.2405283774989977,1.0001970599809122,0.9977000697619809
geopotential-level925,15,1.136925750827156,1.000147261998502,0.9992093887826743
geopotential-level925,16,1.0,1.0,1.0
geopotential_at_surface,-12,,,
geopotential_at_surface,-6,,,
land_sea_mask,-12,,,
land_sea_mask,-6,,,
mean_sea_level_pressure,-12,11.250712128034088,1.0000211997205237,0.9990192024678349
mean_sea_level_pressure,-6,7.0080025804482124,1.0000193459916757,0.9992434644388536
mean_sea_level_pressure,0,6.898226285139777,1.0005854349405716,0.9346189199502054
mean_sea_level_pressure,1,6.33986936681513,1.0005073931204382,0.9384856738240683
mean_sea_level_pressure,2,5.564373740785297,1.0004198586348876,0.9513102729867479
mean_sea_level_pressure,3,5.430884864300455,1.0003128606592164,0.9507926493553829
mean_sea_level_pressure,4,5.087465794256593,1.000236467528903,0.9522200327593411
mean_sea_level_pressure,5,4.770831386548901,1.0002105468205518,0.9545675304485772
mean_sea_level_pressure,6,4.4284359899487065,1.0001842560663317,0.9592662647519652
mean_sea_level_pressure,7,3.739583452841157,1.0001692510483353,0.9703947382119041
mean_sea_level_pressure,8,3.129926045246764,1.000174981006337,0.9790706904204254
mean_sea_level_pressure,9,2.494874844340591,1.0000235479926904,0.9874180672271203
mean_sea_level_pressure,10,2.1871292335572754,1.0000703959375816,0.9906164014980685
mean_sea_level_pressure,11,1.9397017659028215,1.0000739467130106,0.9945360310500275
mean_sea_level_pressure,12,1.6995274255031982,1.0000627397155908,0.9959303536064935
mean_sea_level_pressure,13,1.5294995381766956,1.0000193507107018,0.9960945854927661
mean_sea_level_pressure,14,1.391778984956604,0.9999830539246635,0.99664584185683
mean_sea_level_pressure,15,1.1888451120000456,0.999994615750419,0.9985572071862491
mean_sea_level_pressure,16,1.0,1.0,1.0
specific_humidity-level100,-12,2.6660110377736204,1.0009618519956553,1.0007854178048003
specific_humidity-level100,-6,1.955551154895417,1.0009669972078028,1.0006196388016224
specific_humidity-level100,0,2.2140118361127903,1.007779615156147,1.0272417356373267
specific_humidity-level100,1,2.1976209030334877,1.0046543516492306,1.0220749281061323
specific_humidity-level100,2,2.219354584940616,0.9905336719717006,1.0008413180073223
specific_humidity-level100,3,2.2634803442522005,0.9946814203011488,0.9989186306839636
specific_humidity-level100,4,2.3244793346889256,0.9977191342578816,1.0161824463736977
specific_humidity-level100,5,2.2825882775044977,0.9941437618872827,1.0232389042777557
specific_humidity-level100,6,2.2858737963674316,1.001782894169275,1.0280414989354267
specific_humidity-level100,7,2.2809300091988622,0.996131491269885,1.0029216816534818
specific_humidity-level100,8,2.2566162546216413,1.0077545316902319,0.9994878571330674
specific_humidity-level100,9,2.2272382061518954,1.0056635618199683,1.0098828507417987
specific_humidity-level100,10,2.1888277304531183,1.0079028122128928,1.0254906724301083
specific_humidity-level100,11,2.118122624898451,1.0050064310389304,0.9715329340192613
specific_humidity-level100,12,2.067437672913348,0.9948473228302628,0.9817190063203851
specific_humidity-level100,13,2.1344544399635117,0.9803633788943992,0.9832254210022643
specific_humidity-level100,14,1.6121956386920009,0.992515481610252,0.9648131756592123
specific_humidity-level100,15,1.2279305403698655,1.0004200063330568,1.000658185359615
specific_humidity-level100,16,1.0,1.0,1.0
specific_humidity-level1000,-12,3.9223516234980376,0.9994741255836731,1.004501762391087
specific_humidity-level1000,-6,2.849808762422576,0.9994776389529413,1.0044541066371155
specific_humidity-level1000,0,2.5554683924448085,1.0075403899934827,1.0005305292139552
specific_humidity-level1000,1,2.437152130335284,1.0021837016816804,0.9922395716007723
specific_humidity-level1000,2,2.3225514298877155,0.9986582926674733,0.9946166270383419
specific_humidity-level1000,3,2.2583126967388525,0.9970085516805729,0.9977593190497899
specific_humidity-level1000,4,2.1834504947130426,0.9971320710184253,0.9989709494269761
specific_humidity-level1000,5,2.083195956807694,0.9981982224915869,0.9969751798819055
specific_humidity-level1000,6,2.0063020455167018,0.9972812719906649,0.9947918703184858
specific_humidity-level1000,7,1.9388968334052818,0.9969131104234229,0.9982968054540003
specific_humidity-level1000,8,1.9009357096809465,0.9969908910752898,1.0047046391776069
specific_humidity-level1000,9,1.784953226051633,0.9999050845114713,1.0140900347406063
specific_humidity-level1000,10,1.686809717256863,0.9986077070705938,1.0077147361663785
specific_humidity-level1000,11,1.6006043554369016,0.9993705824973826,0.999711624225391
specific_humidity-level1000,12,1.5291604174094882,0.9991776739801697,1.004687005062254
specific_humidity-level1000,13,1.4239649747153547,0.9983678490945446,1.0045205202512046
specific_humidity-level1000,14,1.3396891469863306,0.9979887324610824,0.9988656154730982
specific_humidity-level1000,15,1.2080191010797832,0.9989645511309448,0.9935607575508933
specific_humidity-level1000,16,1.0,1.0,1.0
specific_humidity-level150,-12,2.5267433255187344,1.0045804993488425,0.9865000892204715
specific_humidity-level150,-6,2.029414451939822,1.0045614445761455,0.9867708410090721
specific_humidity-level150,0,2.0863699937733684,0.9379409438261904,1.0979911510359937
specific_humidity-level150,1,2.0157259812192603,0.9590103463411851,1.1686456908811838
specific_humidity-level150,2,1.9920332967733474,0.9716148993814738,1.1900669340658292
specific_humidity-level150,3,1.913168064370456,0.9923992525144479,1.164055046380309
specific_humidity-level150,4,1.9272564182064662,0.9867006369085766,1.1297763818081386
specific_humidity-level150,5,1.9058960658663147,0.9955532475099593,1.1362351578938348
specific_humidity-level150,6,1.9253025140119886,0.9844003792015895,1.1011495695840616
specific_humidity-level150,7,1.8705375805979878,1.0088659002167784,1.1112646805003032
specific_humidity-level150,8,1.8769161406980672,1.0031978116339504,1.1183403450612968
specific_humidity-level150,9,1.9179415295179012,0.9723663488059564,1.061577944399257
specific_humidity-level150,10,1.859618310780415,0.9768888883679394,1.070294418698902
specific_humidity-level150,11,1.7921306691681815,0.9796217198786825,1.0284022209365644
specific_humidity-level150,12,1.6877769595790968,0.9842951358899871,1.0598077977028657
specific_humidity-level150,13,1.4896387063385772,0.994634225391994,1.0592715429158248
specific_humidity-level150,14,1.2599981878194264,1.0004025572382502,1.0284226772384926
specific_humidity-level150,15,1.0746397345817216,0.9934304585850593,1.0391338772717122
specific_humidity-level150,16,1.0,1.0,1.0
