variable,step,rmse,mae,cvrmse,pred_mean,pred_std,pred_cv,truth_mean,truth_std,truth_cv,count
10m_u_component_of_wind,-12,3.2998067882605864,,,-0.032473156680049985,0.23978732834543137,,,,,
10m_u_component_of_wind,-6,2.273583541091988,,,-0.03213553576361809,0.23989735470587112,,,,,
10m_u_component_of_wind,0,2.339408964730383,1.7265353539218642,-73.46573454145624,-0.1014384118745311,0.1792745852841124,-1.7673244481179036,-0.0318435387508481,0.2399992717307957,-7.536827913775872,1460.0
10m_u_component_of_wind,1,2.3026130912834994,1.703246816788634,-72.31021367630417,0.0017336097993642,0.1800022872147101,103.83091240065788,-0.0318435387508481,0.2399992717307957,-7.536827913775872,1460.0
10m_u_component_of_wind,2,2.226977171070077,1.6452786166373998,-69.93497765730461,-0.0234480268600809,0.1871841831152609,-7.982939640602852,-0.0318435387508481,0.2399992717307957,-7.536827913775872,1460.0
10m_u_component_of_wind,3,2.17248856184395,1.60523167424006,-68.2238421691147,0.0188729672983654,0.1877572902718333,9.948477486531456,-0.0318435387508481,0.2399992717307957,-7.536827913775872,1460.0
10m_u_component_of_wind,4,2.1245351806726385,1.5705615723786288,-66.71793600879406,-0.0139879567793398,0.1892364077822956,-13.52852391292748,-0.0318435387508481,0.2399992717307957,-7.536827913775872,1460.0
10m_u_component_of_wind,5,2.0497277859111995,1.5224248842833794,-64.36871862605432,-0.0167648217762016,0.1884357821798311,-11.23995141107454,-0.0318435387508481,0.2399992717307957,-7.536827913775872,1460.0
10m_u_component_of_wind,6,1.9304531028068888,1.4304367290784237,-60.62307075577375,-0.0444424732515671,0.1980908806705957,-4.457242501993532,-0.0318435387508481,0.2399992717307957,-7.536827913775872,1460.0
10m_u_component_of_wind,7,1.781751578893899,1.317905176339084,-55.953315767910496,-0.0933501489569607,0.2008037218660942,-2.151080893922034,-0.0318435387508481,0.2399992717307957,-7.536827913775872,1460.0
10m_u_component_of_wind,8,1.6073218074595548,1.1912006191194875,-50.47560260295334,-0.0673154988358824,0.2038227147110559,-3.027872009208206,-0.0318435387508481,0.2399992717307957,-7.536827913775872,1460.0
10m_u_component_of_wind,9,1.474096334765692,1.1005448941498586,-46.29185048494119,-0.1215538969238828,0.2067374765420349,-1.7007885536692755,-0.0318435387508481,0.2399992717307957,-7.536827913775872,1460.0
10m_u_component_of_wind,10,1.3900466909249565,1.0379242528383046,-43.65239371795429,-0.0266643234905057,0.210302272875996,-7.887028258972244,-0.0318435387508481,0.2399992717307957,-7.536827913775872,1460.0
10m_u_component_of_wind,11,1.165760327394468,0.8619636124944033,-36.60900682288081,-0.0880191068103756,0.2168720085700934,-2.463919669593019,-0.0318435387508481,0.2399992717307957,-7.536827913775872,1460.0
10m_u_component_of_wind,12,1.0425368205475072,0.7674330521936286,-32.73935188876394,-0.0228788354317557,0.2216472309667341,-9.687872078448889,-0.0318435387508481,0.2399992717307957,-7.536827913775872,1460.0
10m_u_component_of_wind,13,0.8939190327598079,0.6493024500673764,-28.0722265120738,-0.0329968242052952,0.2306437631879827,-6.9898776243736,-0.0318435387508481,0.2399992717307957,-7.536827913775872,1460.0
10m_u_component_of_wind,14,0.7978883129207581,0.5822254959442844,-25.056521486623637,0.0090488725676351,0.2318130663504703,25.61789489439717,-0.0318435387508481,0.2399992717307957,-7.536827913775872,1460.0
10m_u_component_of_wind,15,0.7209688505613203,0.523822568254928,-22.640977694167805,-0.0154983538541422,0.2304240939117912,-14.867649563324754,-0.0318435387508481,0.2399992717307957,-7.536827913775872,1460.0
10m_u_component_of_wind,16,0.5815361622947912,0.4069213552630111,-18.262297003008268,-0.0381321118814848,0.2391770294661692,-6.272325807957738,-0.0318435387508481,0.2399992717307957,-7.536827913775872,1460.0
10m_v_component_of_wind,-12,3.7302624529094106,,,0.19420934738333664,0.282205597650038,,,,,
10m_v_component_of_wind,-6,2.5352943315653986,,,0.19424473768199713,0.28214685249187266,,,,,
10m_v_component_of_wind,0,2.5727313856788028,1.8702355288479424,13.242515648117225,0.2024355859257088,0.1782551505776052,0.8805524471523627,0.1942781457875479,0.2820895647488723,1.4519881461981332,1460.0
10m_v_component_of_wind,1,2.5170307940029195,1.8334682482562648,12.955810257502703,0.3014628337130663,0.1804069790651675,0.598438543296119,0.1942781457875479,0.2820895647488723,1.4519881461981332,1460.0
10m_v_component_of_wind,2,2.4024258965185896,1.7611028327517313,12.365909128789774,0.299352253940792,0.1814026537007009,0.605983924666156,0.1942781457875479,0.2820895647488723,1.4519881461981332,1460.0
10m_v_component_of_wind,3,2.35899720751231,1.7369641538352183,12.142370403781708,0.3492422378182248,0.1989318678810044,0.5696099908297616,0.1942781457875479,0.2820895647488723,1.4519881461981332,1460.0
10m_v_component_of_wind,4,2.244908913493615,1.6614806629207035,11.555128367081114,0.3175876280732616,0.1952379466696504,0.6147529985790652,0.1942781457875479,0.2820895647488723,1.4519881461981332,1460.0
10m_v_component_of_wind,5,2.1525588526316857,1.5952409378469807,11.079778653979988,0.321328820800339,0.2039610421785101,0.6347424475355214,0.1942781457875479,0.2820895647488723,1.4519881461981332,1460.0
10m_v_component_of_wind,6,2.0327299447128984,1.50461719738294,10.462988188778484,0.2789284986083209,0.2090303536449768,0.7494047925827149,0.1942781457875479,0.2820895647488723,1.4519881461981332,1460.0
10m_v_component_of_wind,7,1.8650769442294368,1.3792565265746966,9.60003471656037,0.2445803183098626,0.2252880886440242,0.9211210869330996,0.1942781457875479,0.2820895647488723,1.4519881461981332,1460.0
10m_v_component_of_wind,8,1.6420426259824823,1.2213608302482186,8.452019239354547,0.1484906737423867,0.2239835482311526,1.5084014543548838,0.1942781457875479,0.2820895647488723,1.4519881461981332,1460.0
10m_v_component_of_wind,9,1.481002828728105,1.102206708388786,7.623105639208898,0.1785553766172522,0.2373409550878144,1.329228834125638,0.1942781457875479,0.2820895647488723,1.4519881461981332,1460.0
10m_v_component_of_wind,10,1.4049836735117824,1.0451279495676904,7.231815332683876,0.1804355512354012,0.2438669845443579,1.3515462051389324,0.1942781457875479,0.2820895647488723,1.4519881461981332,1460.0
10m_v_component_of_wind,11,1.2179610528995748,0.8995314679325443,6.269161402391966,0.2291255734493361,0.2592766753810855,1.1315920413328124,0.1942781457875479,0.2820895647488723,1.4519881461981332,1460.0
10m_v_component_of_wind,12,1.054700604245603,0.7745894591285758,5.428817533594162,0.2090350068301681,0.2719795507898467,1.301119630219728,0.1942781457875479,0.2820895647488723,1.4519881461981332,1460.0
10m_v_component_of_wind,13,0.9351294805841914,0.6837427142139983,4.813353950818526,0.1948681536665315,0.2767079425432793,1.419975184948877,0.1942781457875479,0.2820895647488723,1.4519881461981332,1460.0
10m_v_component_of_wind,14,0.8084068751501371,0.5931551892871726,4.161079836710853,0.2104868312655501,0.2763511552565335,1.3129142264861644,0.1942781457875479,0.2820895647488723,1.4519881461981332,1460.0
10m_v_component_of_wind,15,0.7540552675398774,0.550805919117307,3.881318016924413,0.1780949973642797,0.2660879760838049,1.494078890602088,0.1942781457875479,0.2820895647488723,1.4519881461981332,1460.0
10m_v_component_of_wind,16,0.5863312558821492,0.412638639791371,3.0179990317764784,0.2017269980507242,0.2830482906745741,1.4031254785410607,0.1942781457875479,0.2820895647488723,1.4519881461981332,1460.0
2m_temperature,-12,3.6382019295546706,,,278.8268734239552,1.7236282138013415,,,,,
2m_temperature,-6,2.64820878225937,,,278.82728116806237,1.7233367237442911,,,,,
2m_temperature,0,1.6735822803197475,1.1055038417447105,0.0060022095829182,279.20714217930623,1.65895703990752,0.0059416712157103,278.8276979002234,1.722971097817061,0.0061793398245306,1460.0
2m_temperature,1,1.5125929365235025,0.9953313123281688,0.0054248302730124,279.0724159763284,1.6635444058210709,0.0059609775477135,278.8276979002234,1.722971097817061,0.0061793398245306,1460.0
2m_temperature,2,1.381437782667852,0.9065115020291448,0.0049544496227279,278.97173606140973,1.668168974983753,0.005979706039527,278.8276979002234,1.722971097817061,0.0061793398245306,1460.0
2m_temperature,3,1.31696815393234,0.8609525633184877,0.0047232328920335,278.9501949571583,1.685000637331581,0.0060405071148645,278.8276979002234,1.722971097817061,0.0061793398245306,1460.0
2m_temperature,4,1.2689423157342612,0.8307764845351651,0.0045509908997216,278.9678638196972,1.6982084825426436,0.0060874699303724,278.8276979002234,1.722971097817061,0.0061793398245306,1460.0
2m_temperature,5,1.2080134825426034,0.7927246206019023,0.0043324730349238,278.8809683185734,1.7042191494494807,0.0061109195070733,278.8276979002234,1.722971097817061,0.0061793398245306,1460.0
2m_temperature,6,1.1720867833413189,0.7659732859020364,0.0042036239303626,278.9382494782748,1.7076415329717791,0.0061219339268305,278.8276979002234,1.722971097817061,0.0061793398245306,1460.0
2m_temperature,7,1.1406475292549998,0.7437551259178005,0.0040908687976298,278.9644650184945,1.7084357817580067,0.0061242057537498,278.8276979002234,1.722971097817061,0.0061793398245306,1460.0
2m_temperature,8,1.0929192461082604,0.7094661619973509,0.0039196939699274,278.975599942142,1.719609369911265,0.0061640135204222,278.8276979002234,1.722971097817061,0.0061793398245306,1460.0
2m_temperature,9,1.031391971133842,0.667748298832815,0.0036990298270257,278.9737575792287,1.7179553315627347,0.0061581252174761,278.8276979002234,1.722971097817061,0.0061793398245306,1460.0
2m_temperature,10,0.9606179755399916,0.619606747529278,0.0034452028359239,278.97165431192474,1.7127002936258675,0.0061393344705582,278.8276979002234,1.722971097817061,0.0061793398245306,1460.0
2m_temperature,11,0.898080303988282,0.5756146405249426,0.0032209149620051,278.9355533338573,1.7278439192387742,0.0061944198170059,278.8276979002234,1.722971097817061,0.0061793398245306,1460.0
2m_temperature,12,0.8266495675413963,0.5279727554076339,0.0029647326064328,278.91008018598166,1.731508002550509,0.0062081227089243,278.8276979002234,1.722971097817061,0.0061793398245306,1460.0
2m_temperature,13,0.7755317564156263,0.4943725853341899,0.0027814014255253,278.89009652333715,1.7252537037981053,0.0061861418720321,278.8276979002234,1.722971097817061,0.0061793398245306,1460.0
2m_temperature,14,0.7372818792511832,0.4659225746580999,0.0026442203726654,278.8633782373716,1.7256790925462948,0.0061882600126768,278.8276979002234,1.722971097817061,0.0061793398245306,1460.0
2m_temperature,15,0.6701705681252413,0.4204799420417172,0.0024035293952936,278.8253880958035,1.7194274984785791,0.006166681987681,278.8276979002234,1.722971097817061,0.0061793398245306,1460.0
2m_temperature,16,0.5907819749522177,0.3710127652507938,0.0021188066300487,278.83229085843857,1.717156375815087,0.0061583842048153,278.8276979002234,1.722971097817061,0.0061793398245306,1460.0
geopotential-level100,-12,334.91891291276687,,,157662.58247003425,535.2575673793782,,,,,
geopotential-level100,-6,206.27809339659905,,,157662.5263270548,535.3006859040779,,,,,
geopotential-level100,0,196.2859848600988,148.67346951210337,0.0012449759258997,157684.71485445206,518.1800619872234,0.0032861781337875,157662.47425085618,535.3419817981642,0.0033954939775103,1460.0
geopotential-level100,1,209.45690673591344,158.15020541883496,0.0013285146496093,157673.94094606163,513.3149471932942,0.0032555471380581,157662.47425085618,535.3419817981642,0.0033954939775103,1460.0
geopotential-level100,2,213.94789902738972,162.34342775214208,0.0013569995019041,157662.89556934932,511.7589451763272,0.0032459060410394,157662.47425085618,535.3419817981642,0.0033954939775103,1460.0
geopotential-level100,3,206.3383155148028,153.6433952279287,0.0013087344753102,157682.32846746576,512.1797786780004,0.0032481748820932,157662.47425085618,535.3419817981642,0.0033954939775103,1460.0
geopotential-level100,4,205.68048319401944,153.15777340196584,0.0013045620663466,157678.5182255993,512.6917437822225,0.0032515002649167,157662.47425085618,535.3419817981642,0.0033954939775103,1460.0
geopotential-level100,5,204.3414395656804,152.63648487770394,0.0012960689633764,157670.80499785958,511.9766665968161,0.0032471240735009,157662.47425085618,535.3419817981642,0.0033954939775103,1460.0
geopotential-level100,6,205.50437544197763,153.20040016174318,0.0013034450741588,157676.5515625,510.6186382817231,0.0032383929837489,157662.47425085618,535.3419817981642,0.0033954939775103,1460.0
geopotential-level100,7,197.3365130073582,145.85728040198757,0.0012516390722967,157688.1461686644,511.7182713126936,0.0032451283355526,157662.47425085618,535.3419817981642,0.0033954939775103,1460.0
geopotential-level100,8,174.99890394944802,132.00657420223706,0.0011099591375878,157681.71481164385,513.1085198417146,0.0032540774969034,157662.47425085618,535.3419817981642,0.0033954939775103,1460.0
geopotential-level100,9,154.76162192269743,114.85148508254797,0.000981600870201,157690.6363120719,517.3199012874886,0.003280599998745,157662.47425085618,535.3419817981642,0.0033954939775103,1460.0
geopotential-level100,10,117.93654892831904,91.23006493032796,0.0007480318286815,157658.35612157534,521.9648215253334,0.0033107336291317,157662.47425085618,535.3419817981642,0.0033954939775103,1460.0
geopotential-level100,11,102.6748681391738,78.75002443235215,0.0006512321250001,157672.76911386987,524.9216123389228,0.0033291836966459,157662.47425085618,535.3419817981642,0.0033954939775103,1460.0
geopotential-level100,12,81.54037460319695,63.16858714116763,0.0005171831470401,157660.0291630993,529.5910291367196,0.0033590697144224,157662.47425085618,535.3419817981642,0.0033954939775103,1460.0
geopotential-level100,13,67.05570224736687,51.7357111447478,0.0004253117462857,157662.71179366438,534.2218698067401,0.0033883843790907,157662.47425085618,535.3419817981642,0.0033954939775103,1460.0
geopotential-level100,14,62.937000670643904,48.10260099907444,0.0003991882086697,157659.39119220892,537.4662853437084,0.0034090343827882,157662.47425085618,535.3419817981642,0.0033954939775103,1460.0
geopotential-level100,15,47.915786512775405,36.92946385814719,0.0003039137038819,157661.10136986303,538.0671435579044,0.0034128084789642,157662.47425085618,535.3419817981642,0.0033954939775103,1460.0
geopotential-level100,16,38.21683292939995,29.49223262839121,0.000242396506277,157666.16604238015,536.1017358685984,0.0034002332226718,157662.47425085618,535.3419817981642,0.0033954939775103,1460.0
geopotential-level1000,-12,345.36658850857003,,,712.4686924137482,85.87009297381005,,,,,
geopotential-level1000,-6,217.8107746561056,,,712.3320509192062,85.88234555448864,,,,,
geopotential-level1000,0,204.91232396016488,142.22215212991793,0.2877149589601916,769.2433909795055,80.5905653692243,0.1047660159505633,712.2060135514769,85.88383162196763,0.1205884673645206,1460.0
geopotential-level1000,1,189.99006966645467,130.79950444992275,0.2667627990376727,760.547823553216,80.8581669735552,0.1063156904398103,712.2060135514769,85.88383162196763,0.1205884673645206,1460.0
geopotential-level1000,2,167.29695240221608,115.49013806173248,0.2348996627646758,751.2634578130017,81.85585105635086,0.1089575836613175,712.2060135514769,85.88383162196763,0.1205884673645206,1460.0
geopotential-level1000,3,162.18253428190815,110.43793545553127,0.2277185690600545,742.4259578339041,81.869796984174,0.1102733493088477,712.2060135514769,85.88383162196763,0.1205884673645206,1460.0
geopotential-level1000,4,151.21053740186662,104.0722597723138,0.2123129186284769,736.2919611264582,81.96424663404349,0.1113203062935059,712.2060135514769,85.88383162196763,0.1205884673645206,1460.0
geopotential-level1000,5,142.0952638584283,98.0575221649588,0.1995142713691197,733.0845730089161,82.16551030022875,0.1120818979493508,712.2060135514769,85.88383162196763,0.1205884673645206,1460.0
geopotential-level1000,6,130.65406978306328,90.66368432240944,0.1834498267313771,730.9622089751779,82.56647098810433,0.1129558682710341,712.2060135514769,85.88383162196763,0.1205884673645206,1460.0
geopotential-level1000,7,109.80076002235862,76.8688756472444,0.1541699423104104,729.2059830548012,83.58308122844448,0.114622045307825,712.2060135514769,85.88383162196763,0.1205884673645206,1460.0
geopotential-level1000,8,90.13989778047788,63.65329457635749,0.126564359279961,729.2894422348231,84.3207938521919,0.115620477918617,712.2060135514769,85.88383162196763,0.1205884673645206,1460.0
geopotential-level1000,9,70.46151064912658,50.01884325367131,0.098934169760466,716.4312927873167,85.01312237102421,0.1186619334287811,712.2060135514769,85.88383162196763,0.1205884673645206,1460.0
geopotential-level1000,10,62.10987153297259,44.2376333106054,0.0872077325256723,719.1582913333423,85.25956550456456,0.1185546583165865,712.2060135514769,85.88383162196763,0.1205884673645206,1460.0
geopotential-level1000,11,52.88625213274021,36.59443230302367,0.074256958136338,719.6214405216583,85.57004165913064,0.1189098001264391,712.2060135514769,85.88383162196763,0.1205884673645206,1460.0
geopotential-level1000,12,46.01618577516932,31.724225986167177,0.0646107796053358,718.3779016155086,85.65524546610071,0.119234243249238,712.2060135514769,85.88383162196763,0.1205884673645206,1460.0
geopotential-level1000,13,40.91184250827473,28.00093964485273,0.0574438318826659,714.622070500622,85.66327306180965,0.1198721346540543,712.2060135514769,85.88383162196763,0.1205884673645206,1460.0
geopotential-level1000,14,37.546458095199455,25.824130558640988,0.0527185356214149,710.888534713118,85.6796428916174,0.1205247218204099,712.2060135514769,85.88383162196763,0.1205884673645206,1460.0
geopotential-level1000,15,33.36232949596306,23.557510283221937,0.0468436503780681,711.2310241490194,85.8770234418191,0.1207442033965968,712.2060135514769,85.88383162196763,0.1205884673645206,1460.0
geopotential-level1000,16,28.956082249988167,20.63879203404466,0.0406568909824225,710.7997691742362,85.96344887944353,0.1209390500777886,712.2060135514769,85.88383162196763,0.1205884673645206,1460.0
geopotential-level150,-12,383.8180817510644,,,133226.28653681508,501.3939368914198,,,,,
geopotential-level150,-6,225.87133122053655,,,133226.28040453768,501.3999194027593,,,,,
geopotential-level150,0,223.6259235393592,166.5665568887371,0.001678542108765,133260.5060359589,494.6457312661647,0.003711870425681,133226.28152825343,501.3993751499161,0.0037635169982852,1460.0
geopotential-level150,1,218.6816633382976,163.09799490105615,0.0016414303606598,133242.22227097602,493.8943722458545,0.0037067407299873,133226.28152825343,501.3993751499161,0.0037635169982852,1460.0
geopotential-level150,2,213.11293467974824,159.14952887443647,0.0015996313357627,133236.45197988013,495.1501990697615,0.0037163268138101,133226.28152825343,501.3993751499161,0.0037635169982852,1460.0
geopotential-level150,3,192.0083554927615,144.3610955016254,0.001441219805058,133245.74525898971,493.0447379931356,0.0037002662789329,133226.28152825343,501.3993751499161,0.0037635169982852,1460.0
geopotential-level150,4,182.76752733912423,138.25873640922651,0.0013718579040304,133240.73360445205,493.9607166470368,0.0037072800733253,133226.28152825343,501.3993751499161,0.0037635169982852,1460.0
geopotential-level150,5,175.22450364474454,132.91798003732342,0.0013152397682703,133230.98659032534,492.6798268075973,0.0036979372397995,133226.28152825343,501.3993751499161,0.0037635169982852,1460.0
geopotential-level150,6,164.08851524618262,123.8191956245736,0.0012316527442176,133238.27124357875,492.38986792176473,0.0036955588159921,133226.28152825343,501.3993751499161,0.0037635169982852,1460.0
geopotential-level150,7,150.9064463268402,114.03340449921072,0.0011327077855493,133251.45522260273,493.4177824636036,0.0037029072713639,133226.28152825343,501.3993751499161,0.0037635169982852,1460.0
geopotential-level150,8,127.08573102129368,96.94943491792026,0.0009539088651539,133248.9165025685,494.50947871057735,0.0037111707298651,133226.28152825343,501.3993751499161,0.0037635169982852,1460.0
geopotential-level150,9,112.7032373752286,86.20990847496137,0.0008459534866724,133251.52639126714,497.5906819533653,0.0037342212538135,133226.28152825343,501.3993751499161,0.0037635169982852,1460.0
geopotential-level150,10,88.45504303658998,67.92691192626953,0.0006639458973253,133235.67501070205,498.0105296825692,0.0037378166894307,133226.28152825343,501.3993751499161,0.0037635169982852,1460.0
geopotential-level150,11,78.59093866460395,59.77624468868726,0.0005899056684843,133246.11831121577,497.3980651937479,0.0037329272439441,133226.28152825343,501.3993751499161,0.0037635169982852,1460.0
geopotential-level150,12,66.85081172856812,51.35426259236793,0.000501783964558,133241.2785958904,496.76883894086126,0.0037283403775155,133226.28152825343,501.3993751499161,0.0037635169982852,1460.0
geopotential-level150,13,50.64484143983308,39.53414686934589,0.0003801415220696,133234.33785316782,498.7228929844873,0.0037432008971599,133226.28152825343,501.3993751499161,0.0037635169982852,1460.0
geopotential-level150,14,45.70822802835452,35.12533774179955,0.0003430871709697,133229.29731378425,500.0714733118232,0.0037534647663422,133226.28152825343,501.3993751499161,0.0037635169982852,1460.0
geopotential-level150,15,42.27485095109755,32.8020598385432,0.0003173161516343,133216.41609589042,501.7360241458851,0.0037663227915149,133226.28152825343,501.3993751499161,0.0037635169982852,1460.0
geopotential-level150,16,34.98743461545985,26.797125572047825,0.0002626166114832,133226.20665667808,501.5636622297185,0.0037647522572059,133226.28152825343,501.3993751499161,0.0037635169982852,1460.0
geopotential-level200,-12,468.65131698116073,,,115445.5374197346,490.81380045009433,,,,,
geopotential-level200,-6,268.61259091739885,,,115445.55644798801,490.79452018103655,,,,,
geopotential-level200,0,266.97380764572586,196.4043748933975,0.0023125510863097,115480.1400952483,481.3349563973255,0.0041681189163809,115445.58268407534,490.767994883547,0.0042510764246958,1460.0
geopotential-level200,1,261.0903451283526,193.25338908156303,0.0022615880058645,115470.64801476884,481.5719154204863,0.004170513664727,115445.58268407534,490.767994883547,0.0042510764246958,1460.0
geopotential-level200,2,250.7773360979949,186.86521217659728,0.0021722557959126,115456.6599208048,482.7648197370703,0.0041813509941151,115445.58268407534,490.767994883547,0.0042510764246958,1460.0
geopotential-level200,3,223.9367558997985,168.89225542251378,0.0019397602809335,115465.50767337329,482.0148868458068,0.0041745357255027,115445.58268407534,490.767994883547,0.0042510764246958,1460.0
geopotential-level200,4,207.0038262755868,156.54820028853743,0.0017930857245709,115468.16797410104,483.18483915670777,0.0041845717970088,115445.58268407534,490.767994883547,0.0042510764246958,1460.0
geopotential-level200,5,194.0809141193056,147.55915429624793,0.0016811462994683,115457.28835616438,483.8525614974296,0.0041907493964766,115445.58268407534,490.767994883547,0.0042510764246958,1460.0
geopotential-level200,6,172.85763675429178,131.52576356130103,0.0014973083658586,115457.64802011986,484.39655370785727,0.004195447958748,115445.58268407534,490.767994883547,0.0042510764246958,1460.0
geopotential-level200,7,151.07544843765618,115.8139602713389,0.0013086290954161,115468.28247003425,486.7409256753953,0.0042153647327499,115445.58268407534,490.767994883547,0.0042510764246958,1460.0
geopotential-level200,8,118.67028059871602,91.97166697358432,0.0010279326227965,115465.45377247431,487.7745072754571,0.0042244194374935,115445.58268407534,490.767994883547,0.0042510764246958,1460.0
geopotential-level200,9,100.42947936209336,78.76004577532207,0.0008699291651281,115462.55436643836,490.5537113603368,0.0042485956945269,115445.58268407534,490.767994883547,0.0042510764246958,1460.0
geopotential-level200,10,86.9618384110546,68.01403908925514,0.0007532712503087,115461.02608090754,490.8517498419212,0.0042512332213119,115445.58268407534,490.767994883547,0.0042510764246958,1460.0
geopotential-level200,11,78.05020878491482,60.94718193158712,0.0006760779145487,115465.67705479452,490.46923687714144,0.0042477491960176,115445.58268407534,490.767994883547,0.0042510764246958,1460.0
geopotential-level200,12,59.37518694629681,45.49586594464028,0.0005143131990487,115451.08173159248,489.6677657094056,0.0042413441118534,115445.58268407534,490.767994883547,0.0042510764246958,1460.0
geopotential-level200,13,45.555391144115056,35.11055607599755,0.0003946048872981,115437.9908604452,489.3657863407303,0.0042392091433082,115445.58268407534,490.767994883547,0.0042510764246958,1460.0
geopotential-level200,14,45.75585896328587,35.30433387103146,0.0003963413575424,115438.76590860446,489.050803024277,0.0042364521066646,115445.58268407534,490.767994883547,0.0042510764246958,1460.0
geopotential-level200,15,40.230738332495775,31.033510690192653,0.0003484822666848,115433.87326626712,490.7077040515894,0.004250985349159,115445.58268407534,490.767994883547,0.0042510764246958,1460.0
geopotential-level200,16,34.66806058978767,26.37670977344252,0.0003002978527524,115446.67933968322,490.9702080411241,0.004252787614588,115445.58268407534,490.767994883547,0.0042510764246958,1460.0
geopotential-level250,-12,552.458917284186,,,101345.63072559932,480.3384994052101,,,,,
geopotential-level250,-6,315.7628709540741,,,101345.65189961472,480.31729762325125,,,,,
geopotential-level250,0,314.7533818268968,225.80819216166455,0.0031057404457661,101399.54942744008,466.7675846773692,0.0046032510727415,101345.68143193494,480.2880626510265,0.0047391073390097,1460.0
geopotential-level250,1,302.3824725565938,217.97753680503533,0.0029836739788431,101382.8629655394,468.2655993590831,0.0046187845328282,101345.68143193494,480.2880626510265,0.0047391073390097,1460.0
geopotential-level250,2,288.6554655523368,209.57429128150417,0.0028482265990406,101364.39542487156,469.73182989429046,0.0046340909737131,101345.68143193494,480.2880626510265,0.0047391073390097,1460.0
geopotential-level250,3,253.8480207624492,185.81062158035903,0.0025047739299373,101367.74931506847,470.6893523639097,0.0046433836752252,101345.68143193494,480.2880626510265,0.0047391073390097,1460.0
geopotential-level250,4,232.3682047578924,170.9110200542293,0.0022928278884182,101374.58776755138,472.0101144018108,0.0046560989770347,101345.68143193494,480.2880626510265,0.0047391073390097,1460.0
